matrix_case	finding	lens	kind	lanes_rc_on_ord3x4l	intent	root_cause
ifc2r1_ctl_l8_sort_by_callback_count	CTL-L8-sort_by-callback-count	control	leak	0	REJECT	builtins.rs sort_by (about lines 456-460) applies the key callback once under pc c.lab. At runtime (anubis_sort_by) the comparator calls the key function a number of times that depends on the element order. Here that order depends on s, and the key results are SEC.
ifc2r1_ctl_l9_place_assign_new_key	CTL-L9-place-assign-new-key	control	leak	0	REJECT	eval.rs set_path (about lines 1048-1143), reached from assign(). A place assignment that inserts a NEW map key (Seg::Index with a literal key, or Seg::Field on a map) raises the stored value by pc. It never raises the container's shape label (out.lab, the key set) or klab by pc. The root is then stored by st.assign without raising the shape. At the merge the map joins to {a, b} with lab PUB, so len/has_key/keys and for-loop counts are PUB. builtins::mutate insert/remove do raise out.lab/klab by pc; set_path does not. The same happens for a missing struct field added by p.f = v (see CTL-L10).
ifc2r1_ctl_l10_place_assign_new_struct_field	CTL-L10-place-assign-new-struct-field	control	leak	0	REJECT	Same as CTL-L9, in the Seg::Field arm for structs. The runtime adds a missing field (RUN set_at), and len_val of a Struct is its field count (run.rs 1766). The analysis's len_label returns the struct's lab, which set_path never raises by pc.
ifc2r1_ctl_l11_pop_on_folded_top	CTL-L11-pop-on-folded-top	control	leak	0	REJECT	builtins.rs mutate: pop (about lines 604-628) and remove (659-683) raise out.lab by pc only when cur.list or cur.map is Some. When cur is `top` they leave its shape label unchanged. Here big has more than MAX_NODES=256 nodes, so widen at the call folds each inner list into top, and b[0] is top. push and insert do raise a top's lab by pc; pop and remove do not.
ifc2r1_ctl_l12_exit_under_secret	CTL-L12-exit-under-secret	control	leak	0	REJECT	builtins.rs exit (about lines 109-122) sets p.st = None without recording an exit pc the way do_return records ret_at. merge() therefore does not lift the continuation, and the println after the if is analyzed at pc PUB. The same program with `return;` in place of exit(0) is refused by NEW with ANUBIS_IMPLICIT_FLOW.
ifc2r1_ctl_l13_sort_compound_elements	CTL-L13-sort-compound-elements	control	leak	1	REJECT	builtins.rs sort (about lines 266-269) returns list_of(elems(c), c.lab). Which element lands at each position depends on comparing every element's content (anubis_value_cmp, lexicographic over lists), but the result is labeled only with the collection's shape. For scalar elements the join happens to cover it. For compound elements the inner per-position labels stay PUB (here the second component is 1 ⊔ 2, PUB). Fix: raise the list shape by elems(c).deep(), as unique and sort_by do.
ifc2r1_ctl_l14_whilelet_scrutinee_break_dropped	CTL-L14-whilelet-scrutinee-break-dropped	control	leak	1	REJECT	eval.rs exec_loop_solve takes only hp.exits.ret_at from the header path. hp.exits.brk, brk_at, cnt and cnt_at are silently dropped. The runtime lowers while-let as `loop { let t = e; if test { .. } else { break } }` (run.rs 3713-3729), so a break or continue inside the scrutinee exits the user's loop carrying its state. Here the break state holds log with the secret-conditioned push, and it is lost from the loop exit. The control without the break (the same push under the same condition, yielding None) is refused by NEW.
ifc2r1_ctl_l15_len_of_folded_secret_string	CTL-L15-len-of-folded-secret-string	control	leak	1	REJECT	eval.rs len_label (about lines 2077-2085) returns v.lab. For a `top` value v.lab is only the shape label: the fold builds V::top(shape_all()) with tlab = deep(), and shape_all of a pure scalar is PUB. A string's length is its content (tlab SEC). is_empty and iter_count_label (the for-loop count) use the same function. The control with a small (unfolded) list is refused by NEW.
ifc2r1_ctl_o1_loop_cache_cross_context_values	CTL-O1-loop-cache-cross-context-values	control	overrefusal	0	ACCEPT	eval.rs exec_loop (about lines 1145-1196). loop_cache is keyed by (statement address, frame depth) and reused whenever entry.leq(&cached.entry). The cached exit state, frame ret and ret_at computed for g(s) are handed to the analysis of g(5), whose entry (x PUB) is ⊑ the cached one (x SEC). When the entry is not ⊑, the 're-entered with a larger state' path still joins the previous entry from the other call context. The result is order-dependent: with the two calls swapped NEW accepts, and without the loop (the same g with an if) NEW accepts.
ifc2r1_ctl_o2_loop_cache_cross_context_pc	CTL-O2-loop-cache-cross-context-pc	control	overrefusal	0	ACCEPT	Same loop_cache as CTL-O1, carrying the condition label this time. cnt is first analyzed under pc SEC (inside the secret if-value). The later cnt(3) at pc PUB hits the cached loop, whose exit state has cond = SEC. So `let r = 5` after the loop is raised SEC and the public call's result becomes secret.
ifc2r1_ctl_o3_continue_lifts_next_iterations	CTL-O3-continue-lifts-next-iterations	control	overrefusal	0	ACCEPT	eval.rs exec_loop_solve (about lines 1268-1279) joins cnt_at into next.lift_loop, the same as brk_at. A continue under a secret condition therefore lifts every later iteration, including the loop variable binding and an egress at the top of the body. After a continue, the next iteration starts exactly as it does after the body's end. A for-loop's count is fixed, and a while re-evaluates its condition either way. The only values that differ are those assigned after the continue point, and the in-body lift already raises them. break must lift; continue need not.
ifc2r1_ctl_o4_match_joins_later_arm_patterns	CTL-O4-match-joins-later-arm-patterns	control	overrefusal	0	ACCEPT	eval.rs match_value (about lines 1866-1875) joins the pattern_decision of ALL sub-arms into d before trying any arm, and every arm runs under outer.cond ⊔ d. Arm 0 runs exactly when its own pattern matches, which depends only on k (public). The later arm's `[_, 5]` test on s makes arm 0 look secret-controlled. The comment says 'decided by every pattern and guard before it', but the code joins the later ones too. Fix: accumulate d arm by arm, joining arm i's pattern decision after arm i.
ifc2r1_ctl_o5_summary_context_merging	CTL-O5-summary-context-merging	control	overrefusal	0	ACCEPT	eval.rs call (about lines 508-549). After CONTEXTS_PER_CALLEE = 12 distinct argument contexts, every later call of the callee shares one summary context whose arguments are the join of all later calls' arguments. One call with a secret argument therefore makes the result of every later public call secret. The same happens with a loop in the callee.
ifc2r1_ctl_r1_nested_loop_nesting_blowup	CTL-R1-nested-loop-nesting-blowup	control	robustness	0	ACCEPT	Not traced. It needs a scalar joined with a nested list that grows by one level each iteration (m = [m, j] starting from 0), under two nested loops. The single-loop form takes 16 ms, and the same nest starting from [] takes 10 ms. The inner loop is probably re-solved on every outer round, each time growing toward DATA_DEPTH = 32 with O(size) or worse join/leq/widen work, but this was not confirmed.
ifc2r1_ctl_r2_compose_chain_memory_limit	CTL-R2-compose-chain-memory-limit	control	robustness	0	ACCEPT	Likely (hypothesis, not traced) that FnSet.composed nesting is never folded. value.rs fns_widened widens composed components with widen_at(0, ..), restarting the data depth at 0 and ignoring the reduced MAX_NODES limit. So compose(inc, c) in a loop grows the loop-head value every round and never becomes ⊑ the previous head.
ifc2r1_or_01_loop_cache_hit_across_contexts	OR-01-loop-cache-hit-across-contexts	precision	overrefusal	0	ACCEPT	eval.rs:1145-1166 (exec_loop): loop_cache is keyed by (loop statement address, frame depth) and does not include the call context. A later call to the same function at the same frame depth whose loop-entry state is below an earlier context's entry (entry.leq(&r.entry)) reuses that earlier context's exit and frame return. Here the public list (after filter/map it has items None) is below the secret one, so `summarize(public)` gets the secret loop result.
ifc2r1_or_02_loop_cache_join_across_contexts	OR-02-loop-cache-join-across-contexts	precision	overrefusal	0	ACCEPT	eval.rs:1167-1175 (exec_loop): when a loop is re-entered with a state that is not below the cached one, it is solved from `prev.entry.join(&entry).widen()`, where prev is the last result cached for this (loop, frame depth) from ANY caller context. The previous context's secret `xs` is joined into this call's `xs`, so `xs[i]` and `best` come out secret for the public call.
ifc2r1_or_03_continue_lifts_later_iterations	OR-03-continue-lifts-later-iterations	precision	overrefusal	0	ACCEPT	eval.rs:1268-1279 (exec_loop_solve): `lift = brk_at ⊔ cnt_at` is joined into `next.lift_loop` for every later iteration. That is right for `break`, which ends the iterations, but wrong for `continue`: a continue skips only the rest of the current body, and the next iteration runs regardless. Data written after the continue point already carries the label through `merge`.
ifc2r1_or_04_match_guard_taints_disjoint_later_arms	OR-04-match-guard-taints-disjoint-later-arms	precision	overrefusal	0	ACCEPT	eval.rs:1891-1902 (match_value): a guard's label is joined into `d`, and `d` is the pc of EVERY later sub-arm. That ignores whether a later arm's pattern can match a value that reached the guarded arm. `Ev::Tick` and `Ev::Quit` are disjoint from `Ev::Try(g)`, so a failed guard can never fall through to them.
ifc2r1_or_05_enum_pattern_decision_reads_other_variants	OR-05-enum-pattern-decision-reads-other-variants	precision	overrefusal	0	ACCEPT	eval.rs:2226-2247 (pattern_decision, Pattern::EnumVariant): the loop `for e in v.enums.values()` checks the pattern's sub-patterns against the payload of EVERY variant the value may hold, not only the pattern's own (enum_name, variant). The literal `0` in `Cmd::Move(0)` is therefore tested against `Cmd::Auth(pin)`'s secret payload. Because match_value then joins every sub-arm's decision into `d` (eval.rs:1871-1875), all arms run under a secret pc.
ifc2r1_or_06_method_dispatch_uses_recv_label_as_pc	OR-06-method-dispatch-uses-recv-label-as-pc	precision	overrefusal	0	ACCEPT	eval.rs:1670 (method_call): `pc = p.pc() ⊔ recv.lab`, and the result is raised by recv.lab. recv.lab is the node label, and it is secret whenever the value was qualified `secret<..>`, selected under a secret branch, or returned after a secret-conditioned return. Dispatch, however, depends only on the runtime type name. When the receiver can be only one struct type (or only one enum type, whatever its tag), the method that runs is fixed.
ifc2r1_or_07_qualify_makes_option_result_tag_secret	OR-07-qualify-makes-option-result-tag-secret	precision	overrefusal	0	ACCEPT	eval.rs:2061-2070 (qualify): a type containing `secret<` anywhere (the ty::is_secret substring test) raises the WHOLE value, including the Option/Result tag and a list's length. For `Result<secret<str>, str>` only the Ok payload is secret, and whether Ok or Err comes back is decided by the public `path == ""`. try_value (eval.rs:1947-1956) then takes d = v.lab = SEC, and the rest of `start` runs under lift_ret = SEC.
ifc2r1_or_08_list_truthiness_uses_element_labels	OR-08-list-truthiness-uses-element-labels	precision	overrefusal	0	ACCEPT	eval.rs:895-896 (Stmt::If), eval.rs:1822-1823 (if_value), eval.rs:1226-1227 (While) and eval.rs:1744 (&&, ||) all use `c.deep()` as the control label. The runtime's as_bool on a List or Map depends only on emptiness, which is the node's `lab` (len_label). On a struct, enum or closure it is constant true. deep() also takes in every element's content label.
ifc2r1_or_09_folded_value_tag_decision_uses_content_label	OR-09-folded-value-tag-decision-uses-content-label	precision	overrefusal	0	ACCEPT	eval.rs:2196-2198 (pattern_decision): `if v.top { return v.deep() }`. For a value that has been folded into `top` (DATA_DEPTH, MAX_NODES or SUMMARY_DEPTH widening), matching an enum-variant, struct, wildcard or binding pattern depends only on the shape label `lab`, but the code returns the content label (tlab) as well. The recursive structure built in the loop is folded, so every `match` in the walk becomes secret-decided.
ifc2r1_or_10_context_budget_joins_arguments	OR-10-context-budget-joins-arguments	precision	overrefusal	0	ACCEPT	eval.rs:508-549 (call) with CONTEXTS_PER_CALLEE = 12: from the 13th distinct argument context on, a callee has one summary context per pc, whose arguments are the join of every later call's arguments. The secret payroll list (13th context) and the public refunds list (14th) share it, so `avg(refunds)` returns secret.
ifc2r1_or_11_closure_summary_merges_unrelated_pipelines	OR-11-closure-summary-merges-unrelated-pipelines	precision	overrefusal	0	ACCEPT	value.rs:687-704 and eval.rs:422-438: a closure nested deeper than CLOSURE_DEPTH (3) in captures is replaced by Clo::Summary, and there is ONE summary env per lambda id (Interp::summaries). Every snapshot of `|x| g(f(x))` inside `then` is joined into it. The innermost stage of `plain` is summarized, so it may apply `|x| x + salt` from the other pipeline.
ifc2r1_or_12_max_nodes_fold_merges_record_fields	OR-12-max-nodes-fold-merges-record-fields	precision	overrefusal	1	ACCEPT	value.rs:457-466 and 604-626 (widen_from with MAX_NODES = 256): at the call boundary the 52-record list (313 nodes) is re-widened at halving depth limits until it fits, so every record is folded into `top` with tlab = its deep label. field_read then returns part_of_top (content SEC) for `u.name`, and the per-field labels are lost.
ifc2r1_leak_01_map_key_added_under_secret_pc	LEAK-01-map-key-added-under-secret-pc	precision	leak	0	REJECT	eval.rs:1113-1131 (set_path, Seg::Index on a map; the Seg::Field-on-map arm at 1068-1074 is the same): a place assignment that inserts a new key raises the inserted VALUE by the pc (assign passes v.raise(pc)), but raises neither the map's `lab` nor its `klab`. After the branches merge, V::join unions the known key sets. len_label (lab ⊔ klab), has_key, keys, entries and `for k in m` then all see a public key set, although whether `b` exists was decided by the secret. mutate("insert") raises out.lab by pc (builtins.rs:651), and set_path should do the same.
ifc2r1_leak_02_struct_field_added_under_secret_pc	LEAK-02-struct-field-added-under-secret-pc	precision	leak	0	REJECT	eval.rs:1054-1067 (set_path, Seg::Field on a struct): writing a missing field adds it at runtime (run.rs field set adds the field), and len_val on a Struct is the field count. IFC v2 inserts the field with a pc-raised value but does not raise the struct's `lab`. join_fields unions the field sets, so len/is_empty (len_label = lab) are public.
ifc2r1_leak_03_map_literal_key_text_not_normalized	LEAK-03-map-literal-key-text-not-normalized	precision	leak	1	REJECT	eval.rs:2110-2116 (literal_key) uses the literal's source text ("01") as the map key. The runtime keys maps by display_string() of the key value, and Int(1) displays as "1". IFC v2 therefore reads known["01"] (public 5) while the runtime reads key "1", which holds the secret. The same mismatch exists for any literal whose text is not its display form (for example 1.50 or u64-range literals).
ifc2r1_rob_01_exponential_time_in_list_nesting	ROB-01-exponential-time-in-list-nesting	precision	robustness	0	ACCEPT	value.rs:106-120: ListV keeps `items` and also `all`, the join of the items, which shares the children. The derived Hash/PartialEq/Ord on V/ListV, used for CallKey in memo/in_progress/contexts (eval.rs:497-507), visit both, so the cost doubles per nesting level. all_fns (value.rs:469-500), raise_in_place and release_in_place also traverse both. The same nesting with no call is fast (21 ms), which is consistent with the hashing of the call key. This is inferred from code and timing, not profiled.
ifc2r1_rob_02_exponential_memory_raise_of_nested_list	ROB-02-exponential-memory-raise-of-nested-list	precision	robustness	0	ACCEPT	value.rs:311-343 (raise_in_place): under a secret pc, `let w = v` raises v. Rc::make_mut on the shared ListV clones and recurses into both `all` and `items`, allocating about 2^depth nodes.
ifc2r1_rob_03_ifc2_limit_bst_built_in_loop	ROB-03-ifc2-limit-bst-built-in-loop	precision	robustness	0	ACCEPT	The recursive `insert` result does not settle: ANUBIS_IFC2_LIMIT 'a recursive call did not settle' (eval.rs:603-605 or 641-643, LOOP_LIMIT 60). Trace evidence from ANUBIS_IFC2_TRACE_V on scratch/s1.anb: the length of the printed result value grows 1151, 2921, 6461, 13541, 27701, 56021 and then collapses to 12677 and 2909 before growing again. The MAX_NODES re-fold at halving depth limits (value.rs:457-466) is not a monotone widening: a bigger value is folded shallower, and leq() returns false for a folded `top` against a structured node (value.rs:512-514), so `r.leq(&before)` never holds. The secret payload drives the growth (tags become secret through pattern_decision(top) = deep, OR-09). The same program with i64 payloads settles (p007.anb).
